gene,Gene Name,ess_del,Galactose,low_fitness_gal
YLR197W,NOP56,yes,0.716,low fitness galactose
YLR200W,YKE2,NA,0.68,low fitness galactose
YLR204W,NA,NA,NA,NA
YLR227W-A,NA,NA,NA,NA
YLR227W-B,NA,NA,NA,NA
YLR243W,NA,yes,NA,NA
YLR249W,NA,yes,NA,NA
YLR261C,VPS63,NA,0.505,low fitness galactose
YLR262C-A,TMA7,NA,1.004,
YLR264C-A,NA,NA,NA,NA
YLR264W,RPS28B,NA,0.842,low fitness galactose
YLR276C,DBP9,yes,0.798,low fitness galactose
YLR287C-A,RPS30A,NA,0.807,low fitness galactose
YLR293C,GSP1,yes,0.693,low fitness galactose
YLR363W-A,NA,NA,NA,NA
YLR393W,ATP10,NA,0.488,low fitness galactose
YLR410W-A,NA,NA,NA,NA
YLR426W,NA,NA,NA,NA
YLR435W,NA,NA,NA,NA
YLR438C-A,NA,yes,NA,NA
YLR459W,GAB1,yes,1.153,
YLR459W,GAB1,yes,0.981,low fitness galactose
YLR459W,GAB1,yes,0.976,low fitness galactose
YLR462W,NA,NA,NA,NA
YLR464W,NA,NA,NA,NA
YLR466W,NA,NA,NA,NA
YLR467W,NA,NA,NA,NA
YML040W,NA,NA,NA,NA
YML043C,NA,yes,NA,NA
YML063W,RPS1B,NA,0.579,low fitness galactose
YML092C,NA,yes,NA,NA
YML092C,NA,yes,NA,NA
YML098W,TAF13,yes,0.832,low fitness galactose
YML098W,TAF13,yes,0.888,low fitness galactose
YML108W,NA,NA,1.021,
YML132W,NA,NA,NA,NA
YMR050C,NA,NA,NA,NA
YMR051C,NA,NA,NA,NA
YMR059W,NA,yes,NA,NA
YMR059W,NA,yes,NA,NA
YMR158C-A,NA,NA,1.073,
YMR182C,RGM1,NA,1.003,
YMR236W,TAF9,yes,1.035,
YMR242W-A,NA,NA,NA,NA
YMR251W-A,HOR7,NA,0.798,low fitness galactose
YMR256C,COX7,NA,1.119,
YMR260C,NA,yes,NA,NA
YMR268C,PRP24,yes,1.009,
YMR269W,TMA23,NA,0.814,low fitness galactose
YMR286W,NA,NA,NA,NA
YMR298W,LIP1,yes,0.892,low fitness galactose
YMR314W,NA,yes,NA,NA
YNL002C,RLP7,yes,0.707,low fitness galactose
YNL015W,PBI2,NA,0.979,low fitness galactose
YNL131W,NA,yes,NA,NA
YNL135C,FPR1,NA,0.845,low fitness galactose
YNL138W-A,NA,yes,NA,NA
YNL177C,NA,NA,NA,NA
YNL178W,NA,yes,NA,NA
