	1657_1	1657_2	1728	1734	1736	1740	1744	1747	1751
YDR370C	10.0	4.0	15.0	5.0	15.0	7.0	3.0	1.0	4.0
YNL118C	8.0	6.0	13.0	7.0	22.0	8.0	4.0	2.0	11.0
YNL119W	8.0	7.0	19.0	8.0	16.0	10.0	6.0	2.0	6.0
YPR048W	4.0	6.0	8.0	5.0	11.0	7.0	2.0	3.0	6.0
YPL088W	15.0	4.0	23.0	4.0	33.0	20.0	10.0	6.0	6.0
YPR046W	1.0	2.0	3.0	1.0	5.0	3.0	1.0	2.0	4.0
YDR371W	16.0	12.0	31.0	6.0	41.0	24.0	7.0	4.0	10.0
YNL305C	7.0	7.0	24.0	3.0	20.0	7.0	4.0	5.0	10.0
YMR188C	3.0	NaN	16.0	5.0	10.0	7.0	1.0	2.0	3.0
YPL152W	4.0	1.0	14.0	2.0	28.0	10.0	4.0	1.0	5.0
YPL199C	1.0	1.0	8.0	3.0	20.0	6.0	2.0	3.0	4.0
YOL025W	20.0	6.0	19.0	5.0	24.0	15.0	4.0	6.0	7.0
YNL051W	4.0	11.0	12.0	3.0	20.0	15.0	2.0	8.0	7.0
YHR131C	26.0	15.0	30.0	9.0	42.0	18.0	18.0	10.0	18.0
YAR031W	10.0	11.0	18.0	8.0	16.0	14.0	6.0	7.0	6.0
YDL222C	25.0	25.0	52.0	13.0	67.0	42.0	12.0	14.0	22.0
YPL232W	18.0	6.0	29.0	9.0	27.0	21.0	3.0	5.0	5.0
YPR080W	2.0	2.0	15.0	NaN	3.0	11.0	1.0	4.0	NaN
YOR036W	2.0	3.0	2.0	2.0	1.0	NaN	NaN	1.0	NaN
YIL103W	14.0	17.0	13.0	12.0	19.0	10.0	7.0	11.0	6.0
YOR313C	6.0	NaN	14.0	2.0	8.0	10.0	2.0	1.0	5.0
YDR499W	5.0	2.0	11.0	7.0	16.0	6.0	2.0	3.0	2.0
YMR076C	19.0	21.0	21.0	11.0	30.0	22.0	4.0	10.0	15.0
YMR075W	12.0	5.0	25.0	2.0	12.0	8.0	11.0	4.0	2.0
YDR494W	6.0	2.0	11.0	3.0	11.0	4.0	NaN	5.0	3.0
YDR493W	3.0	2.0	17.0	4.0	23.0	9.0	1.0	NaN	1.0
YDR492W	16.0	6.0	18.0	6.0	20.0	8.0	8.0	2.0	4.0
YDR490C	37.0	32.0	67.0	16.0	60.0	47.0	22.0	18.0	20.0
YDR498C	3.0	5.0	13.0	1.0	16.0	7.0	5.0	2.0	3.0
YDR497C	39.0	23.0	93.0	12.0	81.0	64.0	18.0	22.0	20.0
YDR496C	10.0	6.0	24.0	3.0	33.0	23.0	5.0	12.0	8.0
YDR495C	9.0	9.0	12.0	6.0	19.0	15.0	3.0	6.0	4.0
YFR025C	31.0	26.0	49.0	32.0	60.0	38.0	23.0	15.0	27.0
YFR024C-A	10.0	17.0	24.0	14.0	34.0	19.0	9.0	6.0	11.0
YFR027W	5.0	5.0	4.0	2.0	3.0	2.0	NaN	1.0	2.0
YFR026C	12.0	15.0	13.0	13.0	18.0	10.0	11.0	5.0	10.0
YFR029W	35.0	30.0	23.0	28.0	49.0	19.0	15.0	7.0	12.0
YFR028C	4.0	8.0	3.0	8.0	10.0	4.0	1.0	3.0	2.0
YFR031C	21.0	24.0	17.0	20.0	19.0	13.0	5.0	3.0	12.0
YFR030W	35.0	19.0	36.0	13.0	47.0	25.0	22.0	17.0	22.0
YFR032C	10.0	7.0	12.0	11.0	11.0	9.0	6.0	4.0	7.0
YFR031C-A	2.0	2.0	23.0	1.0	10.0	10.0	3.0	2.0	4.0
YOL004W	24.0	19.0	29.0	20.0	60.0	32.0	4.0	18.0	13.0
YMR186W	8.0	8.0	37.0	3.0	42.0	20.0	6.0	5.0	12.0
YMR185W	13.0	11.0	12.0	10.0	22.0	11.0	3.0	12.0	7.0
YPL254W	6.0	1.0	10.0	2.0	8.0	7.0	3.0	2.0	3.0
YER053C	17.0	17.0	32.0	11.0	29.0	22.0	2.0	7.0	11.0
YER052C	17.0	7.0	4.0	12.0	28.0	8.0	11.0	4.0	10.0
YER051W	15.0	10.0	22.0	13.0	31.0	18.0	6.0	8.0	12.0
YER050C	1.0	1.0	9.0	1.0	2.0	4.0	2.0	2.0	2.0
YER056C	12.0	10.0	51.0	10.0	62.0	34.0	11.0	8.0	9.0
YER055C	15.0	10.0	31.0	7.0	28.0	28.0	6.0	7.0	7.0
YER054C	28.0	17.0	27.0	13.0	37.0	26.0	9.0	9.0	16.0
YBR200W-A	1.0	NaN	NaN	NaN	1.0	NaN	NaN	NaN	NaN
YNL036W	2.0	1.0	16.0	2.0	8.0	15.0	NaN	2.0	3.0
YER057C	7.0	5.0	14.0	1.0	14.0	7.0	4.0	NaN	3.0
YER056C-A	1.0	NaN	4.0	1.0	2.0	2.0	NaN	NaN	NaN
YLR007W	4.0	5.0	10.0	7.0	16.0	10.0	3.0	7.0	4.0
YNL199C	7.0	12.0	11.0	8.0	16.0	8.0	5.0	6.0	4.0
YPR078C	34.0	16.0	29.0	18.0	48.0	29.0	27.0	24.0	22.0
YOR043W	16.0	19.0	5.0	3.0	10.0	9.0	2.0	1.0	4.0
YMR216C	11.0	8.0	96.0	12.0	29.0	29.0	14.0	9.0	6.0
YAL010C	6.0	4.0	2.0	4.0	6.0	4.0	NaN	2.0	4.0
YMR294W	5.0	5.0	13.0	3.0	11.0	7.0	NaN	5.0	4.0
YMR008C	6.0	7.0	11.0	4.0	12.0	10.0	10.0	3.0	5.0
YOR197W	7.0	16.0	25.0	7.0	45.0	13.0	11.0	9.0	11.0
YBR200W	1.0	2.0	NaN	3.0	3.0	NaN	1.0	2.0	1.0
YDR268W	7.0	5.0	23.0	3.0	7.0	18.0	1.0	6.0	3.0
YDR267C	4.0	3.0	3.0	2.0	11.0	6.0	NaN	5.0	3.0
YDR266C	7.0	7.0	19.0	1.0	28.0	15.0	5.0	3.0	3.0
YDR265W	3.0	5.0	5.0	3.0	8.0	2.0	3.0	NaN	4.0
YDR264C	15.0	17.0	25.0	14.0	33.0	29.0	2.0	15.0	16.0
YDR263C	9.0	5.0	24.0	4.0	27.0	21.0	7.0	5.0	13.0
YDR262W	5.0	4.0	20.0	2.0	15.0	14.0	3.0	1.0	6.0
YDR261W-A	1.0	2.0	9.0	NaN	9.0	6.0	NaN	3.0	2.0
YDL002C	7.0	4.0	35.0	7.0	13.0	17.0	2.0	7.0	9.0
YOR039W	7.0	5.0	12.0	NaN	15.0	5.0	4.0	2.0	4.0
YBR106W	3.0	3.0	33.0	1.0	10.0	21.0	3.0	3.0	6.0
YBR107C	6.0	6.0	12.0	6.0	13.0	8.0	10.0	5.0	3.0
YBR104W	21.0	11.0	18.0	9.0	26.0	14.0	11.0	5.0	14.0
YBR105C	19.0	18.0	37.0	6.0	24.0	34.0	16.0	6.0	10.0
YBR102C	16.0	15.0	12.0	10.0	23.0	14.0	4.0	12.0	18.0
YBR103W	4.0	2.0	6.0	5.0	29.0	4.0	11.0	NaN	4.0
YBR098W	20.0	19.0	20.0	7.0	31.0	21.0	4.0	10.0	7.0
YBR101C	4.0	4.0	17.0	NaN	5.0	4.0	1.0	2.0	1.0
YBR096W	1.0	4.0	3.0	NaN	15.0	5.0	6.0	3.0	2.0
YBR097W	9.0	12.0	10.0	5.0	12.0	8.0	3.0	8.0	6.0
YMR029C	5.0	7.0	24.0	7.0	28.0	12.0	5.0	4.0	13.0
YDL241W	2.0	4.0	9.0	1.0	6.0	2.0	2.0	4.0	1.0
YBR201C-A	3.0	2.0	6.0	4.0	9.0	7.0	2.0	NaN	2.0
YAR023C	10.0	13.0	20.0	7.0	22.0	12.0	8.0	6.0	11.0
YPR084W	6.0	5.0	10.0	4.0	16.0	6.0	3.0	3.0	4.0
YMR257C	7.0	5.0	18.0	3.0	16.0	16.0	2.0	6.0	4.0
YOR040W	16.0	14.0	38.0	9.0	51.0	22.0	19.0	8.0	11.0
YCR044C	7.0	3.0	3.0	1.0	3.0	4.0	1.0	2.0	NaN
YDL159W-A	2.0	1.0	5.0	1.0	3.0	7.0	NaN	1.0	NaN
YDL240W	21.0	10.0	24.0	15.0	43.0	24.0	6.0	6.0	12.0
YHR133C	10.0	4.0	10.0	6.0	21.0	8.0	1.0	2.0	13.0
YOR193W	5.0	8.0	11.0	4.0	16.0	4.0	7.0	2.0	7.0
YPR083W	17.0	20.0	17.0	14.0	29.0	24.0	7.0	5.0	14.0
YMR262W	10.0	7.0	16.0	7.0	31.0	17.0	8.0	5.0	10.0
