	1657_1	1657_2	1728	1734	1736	1740	1744	1747	1751
YBL068W	90.12952900883269	95.77473781665523	72.21155095969152	195.90770570309098	95.22963038206129	147.3578733311721	163.24531689997144	101.45331879169098	153.51255924625335
YBL069W	296.1398810290217	335.2115823582933	238.298118166982	282.977797126687	323.78074329900835	314.3634631065005	306.0849691874464	152.17997818753648	211.07976896359833
YBL066C	373.3937630365926	446.94877647772444	418.82699556621077	413.582934262081	463.4508678593649	442.0736199935163	673.3869322123821	253.63329697922745	460.53767773876
YBL067C	77.25388200757088	31.924912605551746	122.75963663147557	65.302568567697	165.06469266223957	88.41472399870325	224.4623107374607	25.363329697922744	153.51255924625335
YBL072C	64.37823500630907	47.887368908327616	14.442310191938303	43.535045711798	12.697284050941505	29.471574666234417	NaN	25.363329697922744	38.37813981156334
YBL074C	115.88082301135633	143.66210672498286	151.6442570153522	108.83761427949499	88.88098835659054	147.3578733311721	81.62265844998572	152.17997818753648	230.26883886938
YBL071W-A	51.50258800504725	NaN	21.663465287907453	NaN	12.697284050941505	39.29543288831256	20.40566461249643	NaN	38.37813981156334
YBR252W	25.751294002523625	63.84982521110349	28.884620383876605	43.535045711798	19.045926076412258	9.82385822207814	NaN	76.08998909376824	38.37813981156334
YBL063W	527.9015270517343	446.94877647772444	267.18273855085863	348.280365694384	412.6617316555989	353.658895994813	469.33028608741785	481.9032642605322	479.72674764454166
YBL064C	154.50776401514176	143.66210672498286	216.63465287907454	152.37265999129298	158.7160506367688	127.71015688701581	367.30196302493573	152.17997818753648	134.32348934047167
YOL031C	270.3885870264981	143.66210672498286	180.52887739922878	239.442751414889	311.08345924806684	294.7157466623442	183.65098151246787	202.90663758338195	230.26883886938
YBR253W	12.875647001261813	31.924912605551746	NaN	NaN	6.3486420254707525	NaN	NaN	NaN	NaN
YDL051W	296.1398810290217	111.73719411943111	129.98079172744474	108.83761427949499	95.22963038206129	127.71015688701581	163.24531689997144	76.08998909376824	134.32348934047167
YIL130W	412.020704040378	399.0614075693968	267.18273855085863	500.65302568567694	272.99160709524233	412.60204532728187	306.0849691874464	253.63329697922745	287.836048586725
YKR039W	244.63729302397445	175.5870193305346	339.3942895105501	587.723117109273	450.7535838084234	530.4883439922195	816.2265844998572	329.7232860729957	556.4830272676684
YPL171C	489.2745860479489	303.2866697527416	281.62504874279693	261.210274270788	342.82666937542064	432.24976177143816	550.9529445374036	355.08661577091846	479.72674764454166
