Gene	Tn_abun_1657	Tn_abun_1728	Tn_abun_1734	Tn_abun_1736	Tn_abun_1740	Tn_abun_1744	Tn_abun_1747	Tn_abun_1751	DGY1657	DGY1728	DGY1734	DGY1747	DGY1751	DGY1736	DGY1744	DGY1740	standardized_residuals_DGY1728	standardized_residuals_DGY1734	standardized_residuals_DGY1736	standardized_residuals_DGY1740	standardized_residuals_DGY1744	standardized_residuals_DGY1747	standardized_residuals_DGY1751
YOR184W	191.54947563331	50.5480856717841	65.302568567697	177.761976713181	78.5908657766251	61.2169938374893	152.179978187536	153.512559246253	1	1	1	1	1	1	1	1	-0.937142983766773	-0.963822507710891	-0.0199432224677507	-0.734807762678793	-0.737273091199506	-0.166845669959387	-0.199073451895735
YOR185C	87.7935096652673	122.759636631476	65.302568567697	101.578272407532	49.1192911103907	163.245316899971	126.816648489614	76.7562796231267	1	1	1	1	1	1	1	1	0.134819697284383	-0.1687807085445	-0.0531009688243644	-0.366736152215616	0.607405646523181	0.379004799646241	-0.0703888708671368
YOR186W	231.45561639025	245.519273262951	370.047888550283	215.853828866006	284.891888440266	367.301963024936	177.543307885459	287.836048586725	1	1	1	1	1	1	1	1	0.297534223389755	1.43726738588327	0.0707450005255576	0.592128811153592	1.05524843995698	-0.247004969336603	0.775882349326545
YOR187W	79.8122815138794	296.067358934735	43.535045711798	114.275556458474	265.24417199611	40.8113292249929	202.906637583382	153.512559246253	1	1	1	1	1	1	1	1	1.45771860355351	-0.300980977881473	0.108891077417069	1.30663873014664	-0.160588454654671	1.06990545956054	0.747579977298747
YOR188W	486.854917234664	346.615444606519	326.512842838485	342.826669375421	304.539604884422	428.518956862425	355.086615770918	326.214188398288	1	1	1	1	1	1	1	1	-0.279374029863763	-0.906608433701606	-0.384598454308851	-0.712480480062062	-0.165441577296869	-0.633601564724524	-1.01279176710097
YOR189W	103.755965968043	50.5480856717841	108.837614279495	38.0918521528245	39.2954328883126	20.4056646124964	50.7266593958455	76.7562796231267	1	1	1	1	1	1	1	1	-0.481910816240523	0.0956148543371697	-0.714819062087337	-0.53151439731261	-0.449903270841559	-0.370096451696507	-0.205623480087496
YOR190W	143.662106724983	129.980791727445	65.302568567697	114.275556458474	108.06244044286	81.6226584499857	152.179978187536	134.323489340472	1	1	1	1	1	1	1	1	-0.101502150311406	-0.596886543167369	-0.286380033115125	-0.240484777743002	-0.295149034673434	0.182409744392978	0.0190399923844741
YOR191W	343.192810509681	310.509669126674	282.977797126687	399.964447604657	314.3634631065	244.867975349957	177.543307885459	326.214188398288	1	1	1	1	1	1	1	1	0.198665707590513	-0.192333414204018	1.01140498721824	0.178654540516502	-0.476825813087944	-1.06195146609823	0.204435212523164
YOR192C	175.587019330535	129.980791727445	130.605137135394	209.505186840535	88.4147239987033	81.6226584499857	76.0899890937682	95.9453495289083	1	1	1	1	1	1	1	1	-0.267047809313319	-0.261461015914433	0.360311524593494	-0.570034627959287	-0.498910799261024	-0.683079749332752	-0.626575693749961
YOR193W	103.755965968043	79.4327060556607	87.070091423596	101.578272407532	39.2954328883126	142.839652287475	50.7266593958455	134.323489340472	1	1	1	1	1	1	1	1	-0.268329864932836	-0.0977422177969758	-0.151919325433918	-0.53151439731261	0.369024027174754	-0.370096451696507	0.357129044009845
YOR195W	143.662106724983	180.528877399229	65.302568567697	171.41333468771	88.4147239987033	204.056646124964	177.543307885459	95.9453495289083	1	1	1	1	1	1	1	1	0.272255636000188	-0.596886543167369	0.220217695832787	-0.388477122753239	0.523758810492349	0.393296254677955	-0.356119445241192
YOR196C	111.737194119431	122.759636631476	152.372659991293	76.183704305649	127.710156887016	20.4056646124964	152.179978187536	76.7562796231267	1	1	1	1	1	1	1	1	0.0106532321616812	0.421166434851584	-0.426486405558377	0.0890741723818681	-0.500843847463468	0.41525627216019	-0.273239722485358
YOR197W	183.568247481923	180.528877399229	152.372659991293	285.688891146184	127.710156887016	224.462310737461	228.269967281305	211.079768963598	1	1	1	1	1	1	1	1	0.0653181746367703	-0.129268784491231	0.986356225634889	-0.319443678726025	0.405526771649075	0.524012490098501	0.431271592665188
