DGY1657.1	DGY1657.2	DGY1657.3	DGY1728.1	DGY1728.2	DGY1728.3	DGY1734.1	DGY1734.2	DGY1734.3	DGY1736.1	DGY1736.2	DGY1736.3	DGY1740.1	DGY1740.2	DGY1740.3	DGY1744.1	DGY1744.2	DGY1744.3	DGY1747.1	DGY1747.3	DGY1751.1	DGY1751.2
YAL013W	43.6755517679501	35.2313051013832	46.1411576800979	89.3746182039294	54.4411427721204	74.3942348240312	98.8397542376964	149.150239348041	29.644112431748	85.8638207193959	89.1490410372913	47.1468192338281	43.4343312547478	33.0521853704618	64.1342629809077	56.6649294695027	83.6950592904573	113.760164844747	94.4970214773253	40.8083522921702	41.4244800106461	16.8146728591719
YAL014C	77.8357710993421	65.385226306008	73.1769922582803	124.608842688171	130.229876879949	54.4544339036478	91.2322963015774	100.577320603668	44.1928869861418	81.8827979858781	80.9129921123947	57.9482291872032	75.7725481967592	69.8916003146224	79.2187264269129	73.0169672216882	78.2189177157887	75.658537052744	143.175907052803	92.2852075635001	101.401329890191	56.4110043487542
YAL015C	19.1947296068836	11.0322709112683	20.4559132381768	18.940544088602	17.0378093067248	25.346063780607	30.7867530792232	33.3767700966246	16.2479380238411	23.3543980342331	28.3450987105315	17.9452580708758	26.4515077341414	26.092864117459	23.1592523677691	17.9734073161079	17.1923600959148	22.9691558642177	25.6913777141478	24.5454681935127	26.0501444675644	9.84628439541891
YAL016W	91.4034743184934	70.820910642711	88.3646698967914	39.4986520219107	45.7585223604033	64.0957849797845	75.7817496094521	50.979792600415	45.038542390801	58.03670013109	82.6217802278435	77.4994373710779	74.862757738136	86.7417764911036	77.5518054810558	57.6505517686479	52.1558833838332	61.6883669309262	45.7812810419825	73.8100753460584	55.1873302192693	55.7336852570882
YAL017W	16.4351125524778	11.8864708316462	14.7570098991618	5.28921837792088	5.29366896741436	11.5181080801088	10.3266622784984	7.55448528347646	12.9490376455733	5.54088203986334	15.4250296253672	12.5189223584592	16.8936183023256	21.0138341402844	8.48712867348387	14.8343523905975	10.5826656275517	12.4432081799423	2.52433089797571	15.6009331738428	12.2590500021894	16.6402448146603
YAL018C	0	0	0	0	0	0.647905515864187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL019W	18.8943577654836	5.7802808478681	9.89127290668766	26.4188359056192	9.27471235300655	21.2709899218875	23.2579345791622	29.4847792373009	7.22981144890193	18.316385599545	26.0029106137657	11.8366837687756	30.1824477237332	29.471369743975	27.8680718015367	14.2898114704038	18.7611495538459	28.2974033662886	25.1164234425709	29.814504210318	9.20499804507578	7.65435536039633
YAL020C	10.3991976769543	10.4787210802878	12.2490498432196	62.0805731236875	52.390091734548	31.6193410436714	29.8777079232602	103.499394012202	10.0896488061111	32.0624129577612	31.3349778467415	17.1930616247912	21.1189682508115	19.5305869142657	29.9844665709909	15.0675270913479	24.223120952328	34.9425578772691	41.0241560305754	18.37235643227	21.3458479721612	11.7919573597831
YAL021C	80.0598450474632	49.0282799118168	53.1889717410198	160.355818561961	130.561294306838	60.491798999062	89.4389254955625	114.081868468688	33.3202653719714	83.4716828279824	81.1792803165581	62.5300161896866	99.1668497988395	105.198812884062	81.564547460504	76.7837687251386	80.1328590740377	72.0054811972508	138.165245304407	97.3910283334485	78.7514311668615	45.4323384991485
YAL022C	76.9341984611257	37.8954319678766	54.039193679394	106.230241179722	81.4287453039755	48.1151146414354	90.9953292981967	92.0484558649327	41.8222342956012	69.4979732443512	63.1387705164795	52.1959887260995	51.9157648578708	57.9281732337411	58.9675214205955	55.51631603431	65.9892994823892	49.3754159243331	126.638322580677	72.2622374422914	54.3483336449898	45.112963253142
